,msa,element_1,skills_lq_1
546,C1038,5615,0.32461989045432055
547,C1038,5616,1.5270292389649642
548,C1038,5617,0.5243159874242296
549,C1038,5619,0.0
550,C1038,5621,0.0
551,C1038,5622,2.6254983611218456
552,C1038,5629,0.0
553,C1038,6111,2.074897793748669
554,C1038,6112,47.13225700003293
555,C1038,6113,0.0
556,C1038,6114,0.0
557,C1038,6115,6.176880994074849
558,C1038,6116,0.48834793914035246
559,C1038,6117,7.148921827241256
560,C1038,6211,1.5275886801091478
561,C1038,6212,0.8909934239122667
562,C1038,6213,0.9644778362248203
563,C1038,6214,2.1048175282051873
564,C1038,6215,0.0
565,C1038,6216,0.4271040136884471
566,C1038,6219,2.4119491199485483
567,C1038,6221,0.0
568,C1038,6222,0.0
569,C1038,6223,0.0
570,C1038,6231,0.1253538251010749
571,C1038,6232,0.0
572,C1038,6233,1.5832866059541921
573,C1038,6239,0.0
574,C1038,6241,0.15834883944341116
575,C1038,6242,0.0
576,C1038,6243,2.1937886665698767
577,C1038,6244,0.620405663496861
578,C1038,7111,0.0
579,C1038,7112,0.0
580,C1038,7113,0.0
581,C1038,7114,0.0
582,C1038,7115,0.0
583,C1038,7121,0.0
584,C1038,7131,0.0
585,C1038,7132,0.0
586,C1038,7139,0.36972592366834095
587,C1038,7211,1.8461319930805036
588,C1038,7212,0.0
589,C1038,7213,0.0
590,C1038,7223,0.3520377655612426
591,C1038,7224,0.5437228661208746
592,C1038,7225,1.0985940831342738
593,C1038,8111,0.9081605837070666
594,C1038,8112,0.0
595,C1038,8113,0.6450969844286825
596,C1038,8114,1.5061016523892394
597,C1038,8121,0.16593673288803126
598,C1038,8122,4.253867467744639
599,C1038,8123,0.2907162062844421
600,C1038,8129,0.21613950259776898
601,C1038,8131,0.5338933012993752
602,C1038,8132,0.0
603,C1038,8133,0.0
604,C1038,8134,0.0
605,C1038,8139,0.11603349451738856
606,C1038,8141,0.0
607,C1038,9999,0.0
608,C1042,1111,0.0
609,C1042,1112,0.0
610,C1042,1113,0.0
611,C1042,1114,0.0
612,C1042,1119,0.19090887279731472
613,C1042,1121,0.24641179495138837
614,C1042,1122,0.0
615,C1042,1123,0.0
616,C1042,1124,0.0
617,C1042,1125,0.0
618,C1042,1129,0.0
619,C1042,1131,0.0
620,C1042,1132,0.0
621,C1042,1133,0.0
622,C1042,1141,0.0
623,C1042,1142,0.0
624,C1042,1151,0.00891138648289337
625,C1042,1152,1.5773048349274192
626,C1042,1153,0.0
627,C1042,2111,0.0
628,C1042,2121,0.0
629,C1042,2122,0.0
630,C1042,2123,0.0
631,C1042,2131,0.4758038308288703
632,C1042,2211,0.0
633,C1042,2212,0.0
634,C1042,2213,0.0
635,C1042,2361,1.0059983588669863
636,C1042,2362,0.9356959256844671
637,C1042,2371,0.9702606046265387
638,C1042,2372,0.7903375321308043
639,C1042,2373,0.0
640,C1042,2379,0.0
641,C1042,2381,1.1456181138478323
642,C1042,2382,0.9255639443803391
643,C1042,2383,0.7764025372087593
644,C1042,2389,0.972273518394037
645,C1042,3111,0.0
646,C1042,3112,0.0
647,C1042,3113,0.0
648,C1042,3114,0.9622908881241792
649,C1042,3115,0.0
650,C1042,3116,0.0
651,C1042,3117,0.0
652,C1042,3118,0.0
653,C1042,3119,0.0
654,C1042,3121,3.7241434272901697
655,C1042,3122,0.0
656,C1042,3131,0.0
657,C1042,3132,0.0
658,C1042,3133,0.0
659,C1042,3141,0.0
660,C1042,3149,0.0
661,C1042,3151,0.0
662,C1042,3152,0.0
663,C1042,3159,0.0
664,C1042,3161,0.0
665,C1042,3162,0.0
666,C1042,3169,0.0
667,C1042,3211,0.11318970193584506
668,C1042,3212,0.0
669,C1042,3219,0.6738402658821685
670,C1042,3221,0.0
671,C1042,3222,0.0
672,C1042,3231,2.5402021295507087
673,C1042,3241,0.0
674,C1042,3251,1.4224603995638831
675,C1042,3252,5.166028518580405
676,C1042,3253,0.0
677,C1042,3254,0.0
678,C1042,3255,0.0
679,C1042,3256,0.0
680,C1042,3259,5.359896435570716
681,C1042,3261,6.262650056307569
682,C1042,3262,20.359943927400426
